ACI,AutoDESK,Berechnet,Ermittelt,Color Name,RGB
51,"1.0000,1.0000,0.5000","255,255,127","255,255,123",brilliant-soft-lemon,"rgb(255, 255, 127)"
52,"0.6500,0.6500,0.0000","165,165,0","206,207,0",moderate-vivid-lemon,"rgb(165, 165, 0)"
53,"0.6500,0.6500,0.3250","165,165,82","206,207,99",moderate-soft-lemon,"rgb(165, 165, 82)"
54,"0.5000,0.5000,0.0000","127,127,0","156,154,0",medium-vivid-lemon,"rgb(127, 127, 0)"
55,"0.5000,0.5000,0.2500","127,127,63","156,154,74",medium-soft-lemon,"rgb(127, 127, 63)"
56,"0.3000,0.3000,0.0000","76,76,0","123,125,0",dark-vivid-lemon,"rgb(76, 76, 0)"
57,"0.3000,0.3000,0.1500","76,76,38","123,125,57",dark-soft-lemon,"rgb(76, 76, 38)"
58,"0.1500,0.1500,0.0000","38,38,0","74,77,0",dark-lime,"rgb(38, 38, 0)"
59,"0.1500,0.1500,0.0750","38,38,19","74,77,33",dark-chartreuse,"rgb(38, 38, 19)"
60,"0.7500,1.0000,0.0000","191,255,0","189,255,0",lime,"rgb(191, 255, 0)"
61,"0.8750,1.0000,0.5000","223,255,127","222,255,123",brilliant-soft-lime,"rgb(223, 255, 127)"
62,"0.4875,0.6500,0.0000","124,165,0","156,207,0",moderate-vivid-lime,"rgb(124, 165, 0)"
63,"0.5688,0.6500,0.3250","145,165,82","181,207,99",moderate-soft-lime,"rgb(145, 165, 82)"
64,"0.3750,0.5000,0.0000","95,127,0","115,154,0",medium-vivid-lime,"rgb(95, 127, 0)"
65,"0.4375,0.5000,0.2500","111,127,63","132,154,74",medium-soft-lime,"rgb(111, 127, 63)"
66,"0.2250,0.3000,0.0000","57,76,0","90,125,0",dark-vivid-lime,"rgb(57, 76, 0)"
67,"0.2625,0.3000,0.1500","66,76,38","107,125,57",dark-soft-lime,"rgb(66, 76, 38)"
68,"0.1125,0.1500,0.0000","28,38,0","57,77,0",dark-green,"rgb(28, 38, 0)"
69,"0.1313,0.1500,0.0750","33,38,19","66,77,33",dark-spring-green,"rgb(33, 38, 19)"
70,"0.5000,1.0000,0.0000","127,255,0","123,255,0",chartreuse,"rgb(127, 255, 0)"
71,"0.7500,1.0000,0.5000","191,255,127","189,255,123",brilliant-soft-chartreuse,"rgb(191, 255, 127)"
72,"0.3250,0.6500,0.0000","82,165,0","99,207,0",moderate-vivid-chartreuse,"rgb(82, 165, 0)"
73,"0.4875,0.6500,0.3250","124,165,82","156,207,99",moderate-soft-chartreuse,"rgb(124, 165, 82)"
74,"0.2500,0.5000,0.0000","63,127,0","74,154,0",medium-vivid-chartreuse,"rgb(63, 127, 0)"
75,"0.3750,0.5000,0.2500","95,127,63","115,154,74",medium-soft-chartreuse,"rgb(95, 127, 63)"
76,"0.1500,0.3000,0.0000","38,76,0","57,125,0",dark-vivid-chartreuse,"rgb(38, 76, 0)"
77,"0.2250,0.3000,0.1500","57,76,38","90,125,57",dark-soft-chartreuse,"rgb(57, 76, 38)"
78,"0.0750,0.1500,0.0000","19,38,0","33,77,0",dark-mint-green,"rgb(19, 38, 0)"
79,"0.1125,0.1500,0.0750","28,38,19","57,77,33",dark-emerald,"rgb(28, 38, 19)"
80,"0.2500,1.0000,0.0000","63,255,0","57,255,0",green,"rgb(63, 255, 0)"
81,"0.6250,1.0000,0.5000","159,255,127","156,255,123",brilliant-soft-green,"rgb(159, 255, 127)"
82,"0.1625,0.6500,0.0000","41,165,0","49,207,0",moderate-vivid-green,"rgb(41, 165, 0)"
83,"0.4063,0.6500,0.3250","103,165,82","123,207,99",moderate-soft-green,"rgb(103, 165, 82)"
84,"0.1250,0.5000,0.0000","31,127,0","33,154,0",medium-vivid-green,"rgb(31, 127, 0)"
85,"0.3125,0.5000,0.2500","79,127,63","90,154,74",medium-soft-green,"rgb(79, 127, 63)"
86,"0.0750,0.3000,0.0000","19,76,0","24,125,0",dark-vivid-green,"rgb(19, 76, 0)"
87,"0.1875,0.3000,0.1500","47,76,38","74,125,57",dark-soft-green,"rgb(47, 76, 38)"
88,"0.0375,0.1500,0.0000","9,38,0","16,77,0",dark-forest-green,"rgb(9, 38, 0)"
89,"0.0938,0.1500,0.0750","23,38,19","41,77,33",dark-teal-green,"rgb(23, 38, 19)"
90,"0.0000,1.0000,0.0000","0,255,0","0,255,0",green,"rgb(0, 255, 0)"
91,"0.5000,1.0000,0.5000","127,255,127","123,255,123",brilliant-soft-spring-green,"rgb(127, 255, 127)"
92,"0.0000,0.6500,0.0000","0,165,0","0,207,0",moderate-vivid-spring-green,"rgb(0, 165, 0)"
93,"0.3250,0.6500,0.3250","82,165,82","99,207,99",moderate-soft-spring-green,"rgb(82, 165, 82)"
94,"0.0000,0.5000,0.0000","0,127,0","0,154,0",medium-vivid-spring-green,"rgb(0, 127, 0)"
95,"0.2500,0.5000,0.2500","63,127,63","74,154,74",medium-soft-spring-green,"rgb(63, 127, 63)"
96,"0.0000,0.3000,0.0000","0,76,0","0,125,0",dark-vivid-spring-green,"rgb(0, 76, 0)"
97,"0.1500,0.3000,0.1500","38,76,38","57,125,57",dark-soft-spring-green,"rgb(38, 76, 38)"
98,"0.0000,0.1500,0.0000","0,38,0","0,77,0",dark-teal,"rgb(0, 38, 0)"
99,"0.0750,0.1500,0.0750","19,38,19","33,77,33",dark-turquoise,"rgb(19, 38, 19)"
100,"0.0000,1.0000,0.2500","0,255,63","0,255,57",spring-green,"rgb(0, 255, 63)"
101,"0.5000,1.0000,0.6250","127,255,159","123,255,156",brilliant-soft-mint-green,"rgb(127, 255, 159)"
102,"0.0000,0.6500,0.1625","0,165,41","0,207,49",moderate-vivid-mint-green,"rgb(0, 165, 41)"
103,"0.3250,0.6500,0.4063","82,165,103","99,207,123",moderate-soft-mint-green,"rgb(82, 165, 103)"
104,"0.0000,0.5000,0.1250","0,127,31","0,154,33",medium-vivid-mint-green,"rgb(0, 127, 31)"
105,"0.2500,0.5000,0.3125","63,127,79","74,154,90",medium-soft-mint-green,"rgb(63, 127, 79)"
106,"0.0000,0.3000,0.0750","0,76,19","0,125,24",dark-vivid-mint-green,"rgb(0, 76, 19)"
107,"0.1500,0.3000,0.1875","38,76,47","57,125,74",dark-soft-mint-green,"rgb(38, 76, 47)"
108,"0.0000,0.1500,0.0375","0,38,9","0,77,16",dark-aqua,"rgb(0, 38, 9)"
109,"0.0750,0.1500,0.0938","19,38,23","33,77,41",dark-cyan,"rgb(19, 38, 23)"
110,"0.0000,1.0000,0.5000","0,255,127","0,255,123",mint-green,"rgb(0, 255, 127)"
111,"0.5000,1.0000,0.7500","127,255,191","123,255,189",brilliant-soft-emerald,"rgb(127, 255, 191)"
112,"0.0000,0.6500,0.3250","0,165,82","0,207,99",moderate-vivid-emerald,"rgb(0, 165, 82)"
113,"0.3250,0.6500,0.4875","82,165,124","99,207,156",moderate-soft-emerald,"rgb(82, 165, 124)"
114,"0.0000,0.5000,0.2500","0,127,63","0,154,74",medium-vivid-emerald,"rgb(0, 127, 63)"
115,"0.2500,0.5000,0.3750","63,127,95","74,154,115",medium-soft-emerald,"rgb(63, 127, 95)"
116,"0.0000,0.3000,0.1500","0,76,38","0,125,57",dark-vivid-emerald,"rgb(0, 76, 38)"
117,"0.1500,0.3000,0.2250","38,76,57","57,125,90",dark-soft-emerald,"rgb(38, 76, 57)"
118,"0.0000,0.1500,0.0750","0,38,19","0,77,33",dark-sky-blue,"rgb(0, 38, 19)"
119,"0.0750,0.1500,0.1125","19,38,28","33,77,57",dark-azure,"rgb(19, 38, 28)"
120,"0.0000,1.0000,0.7500","0,255,191","0,255,189",emerald,"rgb(0, 255, 191)"
121,"0.5000,1.0000,0.8750","127,255,223","123,255,222",brilliant-soft-forest-green,"rgb(127, 255, 223)"
122,"0.0000,0.6500,0.4875","0,165,124","0,207,156",moderate-vivid-forest-green,"rgb(0, 165, 124)"
123,"0.3250,0.6500,0.5688","82,165,145","99,207,181",moderate-soft-forest-green,"rgb(82, 165, 145)"
124,"0.0000,0.5000,0.3750","0,127,95","0,154,115",medium-vivid-forest-green,"rgb(0, 127, 95)"
125,"0.2500,0.5000,0.4375","63,127,111","74,154,132",medium-soft-forest-green,"rgb(63, 127, 111)"
126,"0.0000,0.3000,0.2250","0,76,57","0,125,90",dark-vivid-forest-green,"rgb(0, 76, 57)"
127,"0.1500,0.3000,0.2625","38,76,66","57,125,107",dark-soft-forest-green,"rgb(38, 76, 66)"
128,"0.0000,0.1500,0.1125","0,38,28","0,77,57",dark-cerulean,"rgb(0, 38, 28)"
129,"0.0750,0.1500,0.1313","19,38,33","33,77,66",dark-cobalt,"rgb(19, 38, 33)"
130,"0.0000,1.0000,1.0000","0,255,255","0,255,255",cyan,"rgb(0, 255, 255)"
131,"0.5000,1.0000,1.0000","127,255,255","123,255,255",brilliant-soft-cyan,"rgb(127, 255, 255)"
132,"0.0000,0.6500,0.6500","0,165,165","0,207,206",moderate-vivid-cyan,"rgb(0, 165, 165)"
133,"0.3250,0.6500,0.6500","82,165,165","99,207,206",moderate-soft-cyan,"rgb(82, 165, 165)"
134,"0.0000,0.5000,0.5000","0,127,127","0,154,156",medium-vivid-cyan,"rgb(0, 127, 127)"
135,"0.2500,0.5000,0.5000","63,127,127","74,154,156",medium-soft-cyan,"rgb(63, 127, 127)"
136,"0.0000,0.3000,0.3000","0,76,76","0,125,123",dark-vivid-cyan,"rgb(0, 76, 76)"
137,"0.1500,0.3000,0.3000","38,76,76","57,125,123",dark-soft-cyan,"rgb(38, 76, 76)"
138,"0.0000,0.1500,0.1500","0,38,38","0,77,74",dark-blue,"rgb(0, 38, 38)"
139,"0.0750,0.1500,0.1500","19,38,38","33,77,74",dark-royal-blue,"rgb(19, 38, 38)"
140,"0.0000,0.7500,1.0000","0,191,255","0,190,255",azure,"rgb(0, 191, 255)"
141,"0.5000,0.8750,1.0000","127,223,255","123,223,255",brilliant-soft-azure,"rgb(127, 223, 255)"
142,"0.0000,0.4875,0.6500","0,124,165","0,154,206",moderate-vivid-azure,"rgb(0, 124, 165)"
143,"0.3250,0.5688,0.6500","82,145,165","99,178,206",moderate-soft-azure,"rgb(82, 145, 165)"
144,"0.0000,0.3750,0.5000","0,95,127","0,113,156",medium-vivid-azure,"rgb(0, 95, 127)"
145,"0.2500,0.4375,0.5000","63,111,127","74,13,156",medium-soft-azure,"rgb(63, 111, 127)"
146,"0.0000,0.2250,0.3000","0,57,76","0,93,123",dark-vivid-azure,"rgb(0, 57, 76)"
147,"0.1500,0.2625,0.3000","38,66,76","57,109,123",dark-soft-azure,"rgb(38, 66, 76)"
148,"0.0000,0.1125,0.1500","0,28,38","0,56,74",dark-indigo,"rgb(0, 28, 38)"
149,"0.0750,0.1313,0.1500","19,33,38","33,65,74",dark-violet,"rgb(19, 33, 38)"
150,"0.0000,0.5000,1.0000","0,127,255","0,125,255",blue,"rgb(0, 127, 255)"
151,"0.5000,0.7500,1.0000","127,191,255","123,190,255",brilliant-soft-blue,"rgb(127, 191, 255)"
152,"0.0000,0.3250,0.6500","0,82,165","0,101,206",moderate-vivid-blue,"rgb(0, 82, 165)"
153,"0.3250,0.4875,0.6500","82,124,165","99,154,206",moderate-soft-blue,"rgb(82, 124, 165)"
154,"0.0000,0.2500,0.5000","0,63,127","0,77,156",medium-vivid-blue,"rgb(0, 63, 127)"
155,"0.2500,0.3750,0.5000","63,95,127","74,113,156",medium-soft-blue,"rgb(63, 95, 127)"
156,"0.0000,0.1500,0.3000","0,38,76","0,60,123",dark-vivid-blue,"rgb(0, 38, 76)"
157,"0.1500,0.2250,0.3000","38,57,76","57,93,123",dark-soft-blue,"rgb(38, 57, 76)"
158,"0.0000,0.0750,0.1500","0,19,38","0,36,74",dark-purple,"rgb(0, 19, 38)"
159,"0.0750,0.1125,0.1500","19,28,38","33,56,74",dark-lavender,"rgb(19, 28, 38)"
160,"0.0000,0.2500,1.0000","0,63,255","0,60,255",indigo,"rgb(0, 63, 255)"
161,"0.5000,0.6250,1.0000","127,159,255","123,158,255",brilliant-soft-indigo,"rgb(127, 159, 255)"
162,"0.0000,0.1625,0.6500","0,41,165","0,48,206",moderate-vivid-indigo,"rgb(0, 41, 165)"
163,"0.3250,0.4063,0.6500","82,103,165","99,125,206",moderate-soft-royal-blue,"rgb(82, 103, 165)"
164,"0.0000,0.1250,0.5000","0,31,127","0,36,156",medium-vivid-indigo,"rgb(0, 31, 127)"
165,"0.2500,0.3125,0.5000","63,79,127","74,93,156",medium-soft-indigo,"rgb(63, 79, 127)"
166,"0.0000,0.0750,0.3000","0,19,76","0,28,123",dark-vivid-indigo,"rgb(0, 19, 76)"
167,"0.1500,0.1875,0.3000","38,47,76","57,77,123",dark-soft-indigo,"rgb(38, 47, 76)"
168,"0.0000,0.0375,0.1500","0,9,38","0,16,74",dark-mauve,"rgb(0, 9, 38)"
169,"0.0750,0.0938,0.1500","19,23,38","33,44,74",dark-magenta,"rgb(19, 23, 38)"
170,"0.0000,0.0000,1.0000","0,0,255","0,0,255",blue,"rgb(0, 0, 255)"
171,"0.5000,0.5000,1.0000","127,127,255","123,125,255",brilliant-soft-violet,"rgb(127, 127, 255)"
172,"0.0000,0.0000,0.6500","0,0,165","0,0,206",moderate-vivid-violet,"rgb(0, 0, 165)"
173,"0.3250,0.3250,0.6500","82,82,165","99,101,206",moderate-soft-indigo,"rgb(82, 82, 165)"
174,"0.0000,0.0000,0.5000","0,0,127","0,0,156",medium-vivid-violet,"rgb(0, 0, 127)"
175,"0.2500,0.2500,0.5000","63,63,127","74,77,156",medium-soft-violet,"rgb(63, 63, 127)"
176,"0.0000,0.0000,0.3000","0,0,76","0,0,123",dark-vivid-violet,"rgb(0, 0, 76)"
177,"0.1500,0.1500,0.3000","38,38,76","57,60,123",dark-soft-violet,"rgb(38, 38, 76)"
178,"0.0000,0.0000,0.1500","0,0,38","0,0,74",dark-fuchsia,"rgb(0, 0, 38)"
179,"0.0750,0.0750,0.1500","19,19,38","33,36,74",dark-hot-pink,"rgb(19, 19, 38)"
180,"0.2500,0.0000,1.0000","63,0,255","57,0,255",violet,"rgb(63, 0, 255)"
181,"0.6250,0.5000,1.0000","159,127,255","156,125,255",brilliant-soft-purple,"rgb(159, 127, 255)"
182,"0.1625,0.0000,0.6500","41,0,165","49,0,206",moderate-vivid-purple,"rgb(41, 0, 165)"
183,"0.4063,0.3250,0.6500","103,82,165","123,101,206",moderate-soft-violet,"rgb(103, 82, 165)"
184,"0.1250,0.0000,0.5000","31,0,127","33,0,156",medium-vivid-purple,"rgb(31, 0, 127)"
185,"0.3125,0.2500,0.5000","79,63,127","90,77,156",medium-soft-purple,"rgb(79, 63, 127)"
186,"0.0750,0.0000,0.3000","19,0,76","24,0,123",dark-vivid-purple,"rgb(19, 0, 76)"
187,"0.1875,0.1500,0.3000","47,38,76","74,60,123",dark-soft-purple,"rgb(47, 38, 76)"
188,"0.0375,0.0000,0.1500","9,0,38","16,0,74",dark-deep-pink,"rgb(9, 0, 38)"
189,"0.0938,0.0750,0.1500","23,19,38","41,36,74",dark-rose,"rgb(23, 19, 38)"
190,"0.5000,0.0000,1.0000","127,0,255","123,0,255",purple,"rgb(127, 0, 255)"
191,"0.7500,0.5000,1.0000","191,127,255","189,125,255",brilliant-soft-lavender,"rgb(191, 127, 255)"
192,"0.3250,0.0000,0.6500","82,0,165","99,0,206",moderate-vivid-lavender,"rgb(82, 0, 165)"
193,"0.4875,0.3250,0.6500","124,82,165","156,101,206",moderate-soft-purple,"rgb(124, 82, 165)"
194,"0.2500,0.0000,0.5000","63,0,127","74,0,156",medium-vivid-lavender,"rgb(63, 0, 127)"
195,"0.3750,0.2500,0.5000","95,63,127","115,77,156",medium-soft-lavender,"rgb(95, 63, 127)"
196,"0.1500,0.0000,0.3000","38,0,76","57,0,123",dark-vivid-lavender,"rgb(38, 0, 76)"
197,"0.2250,0.1500,0.3000","57,38,76","90,60,123",dark-soft-lavender,"rgb(57, 38, 76)"
198,"0.0750,0.0000,0.1500","19,0,38","33,0,74",dark-crimson,"rgb(19, 0, 38)"
199,"0.1125,0.0750,0.1500","28,19,38","57,36,74",dark-maroon,"rgb(28, 19, 38)"
200,"0.7500,0.0000,1.0000","191,0,255","189,0,255",lavender,"rgb(191, 0, 255)"
201,"0.8750,0.5000,1.0000","223,127,255","122,125,255",brilliant-soft-mauve,"rgb(223, 127, 255)"
202,"0.4875,0.0000,0.6500","124,0,165","156,0,206",moderate-vivid-mauve,"rgb(124, 0, 165)"
203,"0.5688,0.3250,0.6500","145,82,165","181,101,206",moderate-soft-lavender,"rgb(145, 82, 165)"
204,"0.3750,0.0000,0.5000","95,0,127","115,0,156",medium-vivid-mauve,"rgb(95, 0, 127)"
205,"0.4375,0.2500,0.5000","111,63,127","132,77,156",medium-soft-mauve,"rgb(111, 63, 127)"
206,"0.2250,0.0000,0.3000","57,0,76","90,0,123",dark-vivid-mauve,"rgb(57, 0, 76)"
207,"0.2625,0.1500,0.3000","66,38,76","107,60,123",dark-soft-mauve,"rgb(66, 38, 76)"
208,"0.1125,0.0000,0.1500","28,0,38","57,0,74",dark-orange-red,"rgb(28, 0, 38)"
209,"0.1313,0.0750,0.1500","33,19,38","66,36,74",dark-amber,"rgb(33, 19, 38)"
210,"1.0000,0.0000,1.0000","255,0,255","255,0,255",magenta,"rgb(255, 0, 255)"
211,"1.0000,0.5000,1.0000","255,127,255","255,125,255",brilliant-soft-magenta,"rgb(255, 127, 255)"
212,"0.6500,0.0000,0.6500","165,0,165","206,0,206",moderate-vivid-magenta,"rgb(165, 0, 165)"
213,"0.6500,0.3250,0.6500","165,82,165","206,101,206",moderate-soft-mauve,"rgb(165, 82, 165)"
214,"0.5000,0.0000,0.5000","127,0,127","156,0,156",medium-vivid-magenta,"rgb(127, 0, 127)"
215,"0.5000,0.2500,0.5000","127,63,127","156,77,156",medium-soft-magenta,"rgb(127, 63, 127)"
216,"0.3000,0.0000,0.3000","76,0,76","123,0,123",dark-vivid-magenta,"rgb(76, 0, 76)"
217,"0.3000,0.1500,0.3000","76,38,76","123,60,123",dark-soft-magenta,"rgb(76, 38, 76)"
218,"0.1500,0.0000,0.1500","38,0,38","74,0,74",dark-marigold,"rgb(38, 0, 38)"
219,"0.1500,0.0750,0.1500","38,19,38","74,36,74",dark-yellow-orange,"rgb(38, 19, 38)"
220,"1.0000,0.0000,0.7500","255,0,191","255,0,189",magenta,"rgb(255, 0, 191)"
221,"1.0000,0.5000,0.8750","255,127,223","255,125,222",brilliant-soft-fuchsia,"rgb(255, 127, 223)"
222,"0.6500,0.0000,0.4875","165,0,124","206,0,156",moderate-vivid-fuchsia,"rgb(165, 0, 124)"
223,"0.6500,0.3250,0.5688","165,82,145","206,101,181",moderate-soft-magenta,"rgb(165, 82, 145)"
224,"0.5000,0.0000,0.3750","127,0,95","156,0,115",medium-vivid-fuchsia,"rgb(127, 0, 95)"
225,"0.5000,0.2500,0.4375","127,63,111","156,77,132",medium-soft-fuchsia,"rgb(127, 63, 111)"
226,"0.3000,0.0000,0.2250","76,0,57","123,0,90",dark-vivid-fuchsia,"rgb(76, 0, 57)"
227,"0.3000,0.1500,0.2625","76,38,66","123,60,107",dark-soft-fuchsia,"rgb(76, 38, 66)"
228,"0.1500,0.0000,0.1125","38,0,28","74,0,57",dark-magenta,"rgb(38, 0, 28)"
229,"0.1500,0.0750,0.1313","38,19,33","74,36,66",dark-magenta,"rgb(38, 19, 33)"
230,"1.0000,0.0000,0.5000","255,0,127","255,0,123",fuchsia,"rgb(255, 0, 127)"
231,"1.0000,0.5000,0.7500","255,127,191","255,125,189",brilliant-soft-hot-pink,"rgb(255, 127, 191)"
232,"0.6500,0.0000,0.3250","165,0,82","206,0,99",moderate-vivid-hot-pink,"rgb(165, 0, 82)"
233,"0.6500,0.3250,0.4875","165,82,124","206,101,156",moderate-soft-fuchsia,"rgb(165, 82, 124)"
234,"0.5000,0.0000,0.2500","127,0,63","156,0,74",medium-vivid-hot-pink,"rgb(127, 0, 63)"
235,"0.5000,0.2500,0.3750","127,63,95","156,77,115",medium-soft-hot-pink,"rgb(127, 63, 95)"
236,"0.3000,0.0000,0.1500","76,0,38","123,0,57",dark-vivid-hot-pink,"rgb(76, 0, 38)"
237,"0.3000,0.1500,0.2250","76,38,57","123,60,90",dark-soft-hot-pink,"rgb(76, 38, 57)"
238,"0.1500,0.0000,0.0750","38,0,19","74,0,33",dark-magenta,"rgb(38, 0, 19)"
239,"0.1500,0.0750,0.1125","38,19,28","74,36,57",dark-magenta,"rgb(38, 19, 28)"
240,"1.0000,0.0000,0.2500","255,0,63","255,0,57",rose,"rgb(255, 0, 63)"
241,"1.0000,0.5000,0.6250","255,127,159","255,125,156",brilliant-soft-rose,"rgb(255, 127, 159)"
242,"0.6500,0.0000,0.1625","165,0,41","206,0,49",moderate-vivid-rose,"rgb(165, 0, 41)"
243,"0.6500,0.3250,0.4063","165,82,103","206,101,123",moderate-soft-rose,"rgb(165, 82, 103)"
244,"0.5000,0.0000,0.1250","127,0,31","156,0,33",medium-vivid-rose,"rgb(127, 0, 31)"
245,"0.5000,0.2500,0.3125","127,63,79","156,77,90",medium-soft-rose,"rgb(127, 63, 79)"
246,"0.3000,0.0000,0.0750","76,0,19","123,0,24",dark-vivid-rose,"rgb(76, 0, 19)"
247,"0.3000,0.1500,0.1875","76,38,47","123,60,74",dark-soft-rose,"rgb(76, 38, 47)"
248,"0.1500,0.0000,0.0375","38,0,9","74,0,16",dark-rose,"rgb(38, 0, 9)"
249,"0.1500,0.0750,0.0938","38,19,23","74,36,41",dark-rose,"rgb(38, 19, 23)"
250,"0.3300,0.3300,0.3300","84,84,84","49,48,49",steel,"rgb(84, 84, 84)"
251,"0.4640,0.4640,0.4640","118,118,118","90,89,90",pewter,"rgb(118, 118, 118)"
252,"0.5980,0.5980,0.5980","152,152,152","132,134,132",aluminum,"rgb(152, 152, 152)"
253,"0.7320,0.7320,0.7320","186,186,186","173,174,173",ash,"rgb(186, 186, 186)"
254,"0.8660,0.8660,0.8660","220,220,220","214,215,214",fog,"rgb(220, 220, 220)"
255,"1.0000,1.0000,1.0000","255,255,255","255,255,255",white,"rgb(255, 255, 255)"
